id,idempotency_token,from_user_id,from_account_id,from_address,from_amount,from_token_id,to_user_id,to_account_id,to_address,to_amount,to_token_id,exchange_rate,exchange_rate_calculated_at,exchange_pair_id,exchange_account_id,exchange_wallet_address,metadata,encrypted_metadata,status,error_code,error_description,created_at,updated_at
txn_01cy1krd8y8aang4tbaakt9wnp,827fdb2f-ec77-4a10-9d7a-72eda4dec6b9,,,gnis000000000000,1000000000000000000000000,,,,fnce636119703054,1000000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.318499Z,2018-12-06T11:17:00.383927Z
txn_01cy1krdb8bqcfkz9y7bgt95fb,a76bdc0e-4cf5-43fe-83e1-5fb32cf56b23,,,gnis000000000000,1000000000000000000000000,,,,fnce636119703054,1000000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.392550Z,2018-12-06T11:17:00.409792Z
txn_01cy1krdc03kn2abe771b0b55m,861305f5-ae4d-4784-a707-0278dc5e69fa,,,gnis000000000000,1000000000000000000000000,,,,fnce636119703054,1000000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.416912Z,2018-12-06T11:17:00.431933Z
txn_01cy1krdcqejhjrttgxyh2qz0x,50046343-52a0-4d45-8860-95228442d008,,,gnis000000000000,1000000000000000000000000,,,,fnce636119703054,1000000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.439151Z,2018-12-06T11:17:00.452598Z
txn_01cy1krddapz9rzm7fk4r18gd5,59449014-882f-43e4-8895-9a9858b50525,,,gnis000000000000,1000000000000000000000000,,,,fnce636119703054,1000000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.458804Z,2018-12-06T11:17:00.468650Z
txn_01cy1krde52vss9z7xx947hyq9,3301779a-d468-428d-b7d7-f47bbabdb468,,,fnce636119703054,7000000000000000000000,,,,xcyg367194970419,7000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.485458Z,2018-12-06T11:17:00.499622Z
txn_01cy1krdetpg0acn0ae97d8w73,31a42e44-876c-4391-8bdc-c86e32bcd3aa,,,fnce636119703054,4000000000000000000000,,,,xcyg367194970419,4000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.506881Z,2018-12-06T11:17:00.517241Z
txn_01cy1krdfb1ymxrt12hgcgb36x,1a94e1ea-e74a-4f48-b988-5229b5b40a7d,,,fnce636119703054,6000000000000000000000,,,,xcyg367194970419,6000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.523789Z,2018-12-06T11:17:00.534498Z
txn_01cy1krdfwg5jjmvev6bt3bzh7,4cfe9792-50e5-4d80-89ba-4e60b909c389,,,fnce636119703054,7000000000000000000000,,,,xcyg367194970419,7000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.540341Z,2018-12-06T11:17:00.556416Z
txn_01cy1krdgpaf6zfh4pdnxzp451,c8aa9035-3f6d-466d-8e67-81d28865bbfd,,,fnce636119703054,6000000000000000000000,,,,xcyg367194970419,6000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.566996Z,2018-12-06T11:17:00.588955Z
txn_01cy1krdhxfwhvc9rmxjsapd6g,b5acf144-89a4-4823-bec1-b2cc2a2e79f3,,,fnce636119703054,6000000000000000000000,,,,snuk501701774831,6000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.605972Z,2018-12-06T11:17:00.632302Z
txn_01cy1krdjz4aqdhnwm8s7fxecy,1eee218c-6467-457f-ac33-d1b08eb82418,,,fnce636119703054,6000000000000000000000,,,,snuk501701774831,6000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.639862Z,2018-12-06T11:17:00.654360Z
txn_01cy1krdkpaxf0q9zcyky8s1an,80448dac-7b9c-4887-8457-e9d19401cfa0,,,fnce636119703054,5000000000000000000000,,,,snuk501701774831,5000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.662734Z,2018-12-06T11:17:00.677111Z
txn_01cy1krdtfr6et3zgzmxqxcaxq,a88b7454-0db9-4763-8b94-9d0f18820b8c,,,fnce636119703054,1000000000000000000000,,,,mbzc860641429583,1000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.879456Z,2018-12-06T11:17:00.890168Z
txn_01cy1krdwttrcc2jqmgmrfd8zw,44ba2403-10f5-43f5-a7d9-4624009f3daa,,,fnce636119703054,8000000000000000000000,,,,rgrx373795235270,8000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.954426Z,2018-12-06T11:17:00.964476Z
txn_01cy1krdy8w6pzntczx44dn4jt,3d04326a-0845-408a-a308-9ba995ebf336,,,fnce636119703054,7000000000000000000000,,,,rgrx373795235270,7000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:01.000558Z,2018-12-06T11:17:01.010720Z
txn_01cy1kre8pkf091fzpyk7820af,11ef4566-564d-46c5-b6c2-d36a4d04041d,,,fnce636119703054,36000000000000000000,,,,xcyg367194970419,36000000000000000000,,1.0,2018-12-06T11:17:01.333565Z,,,,{},{},confirmed,,,2018-12-06T11:17:01.334187Z,2018-12-06T11:17:01.341879Z
txn_01cy1kre9hfnf9n9627v8zz03r,0fa2413a-1a3e-4123-97e2-4387312d01dd,,,cyxu763907924179,24000000000000000000,,,,fnce636119703054,24000000000000000000,,1.0,2018-12-06T11:17:01.360603Z,,,,{},{},confirmed,,,2018-12-06T11:17:01.361426Z,2018-12-06T11:17:01.368012Z
txn_01cy1krebgvvrndnkn6xf0z4yw,916e21e5-e2d3-4191-94c1-630b2dd395e3,,,cyxu763907924179,54000000000000000000,,,,fnce636119703054,54000000000000000000,,1.0,2018-12-06T11:17:01.424054Z,,,,{},{},confirmed,,,2018-12-06T11:17:01.424765Z,2018-12-06T11:17:01.430967Z
txn_01cy1krec3dkwwye2rpyfd9dwz,85fc954d-c59a-4192-843f-aa80f4d47781,,,cyxu763907924179,60000000000000000000,,,,fnce636119703054,60000000000000000000,,1.0,2018-12-06T11:17:01.442469Z,,,,{},{},confirmed,,,2018-12-06T11:17:01.443279Z,2018-12-06T11:17:01.450374Z
txn_01cydtzcbehe5y93s9nnk5sj9q,9532377,,,fnce636119703054,623549265838110592,,,,whfm199358818972,623549265838110592,,,,,,,{},{},confirmed,,,2018-12-11T05:14:01.966474Z,2018-12-11T05:14:02.005268Z
txn_01cy1krdmbrk4tsty00f527xgm,0955a99a-d900-40c6-b591-153a44fd0140,,,fnce636119703054,8000000000000000000000,,,,snuk501701774831,8000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.683518Z,2018-12-06T11:17:00.695672Z
txn_01cy1krdntjb59bdaep7gg1w6y,af7de5dc-5c26-4080-bee0-449aa79b4158,,,fnce636119703054,6000000000000000000000,,,,cyxu763907924179,6000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.730399Z,2018-12-06T11:17:00.745819Z
txn_01cy1krdvbh9jcec15qjmq3ps5,beb78b0e-91ee-4d58-9bba-4e75121a7e1b,,,fnce636119703054,8000000000000000000000,,,,mbzc860641429583,8000000000000000000000,,,,,,,{},{},confirmed,,,2018-12-06T11:17:00.908000Z,2018-12-06T11:17:00.914861Z
txn_01cy1kre55nc8jdjtg3rdhkr8y,bd0b2847-ce11-4a6c-8d96-8bcd3f26f93b,,,fnce636119703054,86000000000000000000,,,,snuk501701774831,86000000000000000000,,1.0,2018-12-06T11:17:01.219980Z,,,,{},{},confirmed,,,2018-12-06T11:17:01.221070Z,2018-12-06T11:17:01.228718Z
txn_01cydtzcbebwhjxdx2dpr12dzb,1942610,,,fnce636119703054,318573613215078400,,,,whfm199358818972,318573613215078400,,,,,,,{},{},confirmed,,,2018-12-11T05:14:01.966995Z,2018-12-11T05:14:01.980772Z
txn_01cydtzcbebkqmhnr8y4615j6g,7111020,,,fnce636119703054,44718571680541720,,,,whfm199358818972,44718571680541720,,,,,,,{},{},confirmed,,,2018-12-11T05:14:01.966614Z,2018-12-11T05:14:01.995702Z
txn_01cydtzkszdctjx49rxbw409yd,8528490,,,fnce636119703054,604761020616326400,,,,whfm199358818972,604761020616326400,,,,,,,{},{},confirmed,,,2018-12-11T05:14:09.599390Z,2018-12-11T05:14:09.631126Z
txn_01cydtzm9s9vsfdfz8ek8tgtd8,6111004,,,fnce636119703054,610411100944441216,,,,whfm199358818972,610411100944441216,,,,,,,{},{},confirmed,,,2018-12-11T05:14:10.105239Z,2018-12-11T05:14:10.130648Z
txn_01cydtzmcyv21b90dd91s5m968,2726171,,,fnce636119703054,67332995731660736,,,,whfm199358818972,67332995731660736,,,,,,,{},{},confirmed,,,2018-12-11T05:14:10.206434Z,2018-12-11T05:14:10.224730Z
txn_01cydtzmpgsmwnsft86t7qgjgn,2705008,,,fnce636119703054,932617637210189440,,,,whfm199358818972,932617637210189440,,,,,,,{},{},confirmed,,,2018-12-11T05:14:10.512631Z,2018-12-11T05:14:10.540246Z
